id,text,language
66,اليوم كان رائعًا,ar
67,خوب بود اما می‌توانست بهتر باشد,fa
68,لا يعجبني هذا,ar
69,यह ठीक था।,hi
70,बहुत ही अच्छा प्रदर्शन!,hi
71,Worst day ever.,en
72,What a beautiful day!,en
73,I am so tired of this nonsense.,en
74,मैं इससे खुश नहीं हूँ।,hi
75,من خیلی ناراحتم,fa
76,I love this!,en
77,Could be better.,en
78,What a beautiful day!,en
79,Das war unglaublich!,de
80,I am so tired of this nonsense.,en
81,Worst day ever.,en
82,What a beautiful day!,en
83,"Nicht schlecht, aber nicht gut.",de
84,What a beautiful day!,en
85,बहुत ही अच्छा प्रदर्शन!,hi
86,This is terrible...,en
87,Ich bin enttäuscht.,de
88,خوب بود اما می‌توانست بهتر باشد,fa
89,Could be better.,en
90,यह ठीक था।,hi
91,مقبول لكنه ليس الأفضل,ar
92,"Nicht schlecht, aber nicht gut.",de
93,Das war unglaublich!,de
94,I love this!,en
95,Worst day ever.,en
96,Could be better.,en
97,مقبول لكنه ليس الأفضل,ar
98,لا يعجبني هذا,ar
99,این بهترین روز من بود,fa
100,I am so tired of this nonsense.,en
101,Worst day ever.,en
102,मैं इससे खुश नहीं हूँ।,hi
103,यह ठीक था।,hi
104,لا يعجبني هذا,ar
105,Ich bin enttäuscht.,de
106,خوب بود اما می‌توانست بهتر باشد,fa
107,Das war unglaublich!,de
108,I am so tired of this nonsense.,en
109,यह ठीक था।,hi
110,Absolutely fantastic experience!,en
111,Das war unglaublich!,de
112,बहुत ही अच्छा प्रदर्शन!,hi
113,मैं इससे खुश नहीं हूँ।,hi
114,I love this!,en
115,I am so tired of this nonsense.,en
116,यह ठीक था।,hi
117,What a beautiful day!,en
118,مقبول لكنه ليس الأفضل,ar
119,This is terrible...,en
120,बहुत ही अच्छा प्रदर्शन!,hi
121,اليوم كان رائعًا,ar
122,من خیلی ناراحتم,fa
123,Das war unglaublich!,de
124,من خیلی ناراحتم,fa
125,यह ठीक था।,hi
126,خوب بود اما می‌توانست بهتر باشد,fa
127,من خیلی ناراحتم,fa
128,لا يعجبني هذا,ar
129,This is terrible...,en
130,خوب بود اما می‌توانست بهتر باشد,fa
131,यह ठीक था।,hi
132,बहुत ही अच्छा प्रदर्शन!,hi
133,What a beautiful day!,en
134,خوب بود اما می‌توانست بهتر باشد,fa
135,خوب بود اما می‌توانست بهتر باشد,fa
136,I love this!,en
137,I love this!,en
138,This is terrible...,en
139,من خیلی ناراحتم,fa
140,"Nicht schlecht, aber nicht gut.",de
141,من خیلی ناراحتم,fa
142,I love this!,en
143,مقبول لكنه ليس الأفضل,ar
144,لا يعجبني هذا,ar
145,Absolutely fantastic experience!,en
146,I love this!,en
147,Could be better.,en
148,اليوم كان رائعًا,ar
149,बहुत ही अच्छा प्रदर्शन!,hi
150,این بهترین روز من بود,fa
151,बहुत ही अच्छा प्रदर्शन!,hi
152,"Nicht schlecht, aber nicht gut.",de
153,خوب بود اما می‌توانست بهتر باشد,fa
154,"Nicht schlecht, aber nicht gut.",de
155,Worst day ever.,en
156,مقبول لكنه ليس الأفضل,ar
157,यह ठीक था।,hi
158,من خیلی ناراحتم,fa
159,Could be better.,en
160,Absolutely fantastic experience!,en
161,मैं इससे खुश नहीं हूँ।,hi
162,Could be better.,en
163,این بهترین روز من بود,fa
164,Ich bin enttäuscht.,de
165,اليوم كان رائعًا,ar
166,I am so tired of this nonsense.,en
167,مقبول لكنه ليس الأفضل,ar
168,"Nicht schlecht, aber nicht gut.",de
169,Ich bin enttäuscht.,de
170,Ich bin enttäuscht.,de
171,خوب بود اما می‌توانست بهتر باشد,fa
172,Could be better.,en
173,This is terrible...,en
174,यह ठीक था।,hi
175,बहुत ही अच्छा प्रदर्शन!,hi
176,मैं इससे खुश नहीं हूँ।,hi
177,Das war unglaublich!,de
178,What a beautiful day!,en
179,این بهترین روز من بود,fa
180,خوب بود اما می‌توانست بهتر باشد,fa
181,मैं इससे खुश नहीं हूँ।,hi
182,Worst day ever.,en
183,Absolutely fantastic experience!,en
184,اليوم كان رائعًا,ar
185,Worst day ever.,en
186,यह ठीक था।,hi
187,I love this!,en
188,این بهترین روز من بود,fa
189,لا يعجبني هذا,ar
190,خوب بود اما می‌توانست بهتر باشد,fa
191,बहुत ही अच्छा प्रदर्शन!,hi
192,Could be better.,en
193,I am so tired of this nonsense.,en
194,Absolutely fantastic experience!,en
195,خوب بود اما می‌توانست بهتر باشد,fa
196,I am so tired of this nonsense.,en
197,من خیلی ناراحتم,fa
198,मैं इससे खुश नहीं हूँ।,hi
199,اليوم كان رائعًا,ar
200,خوب بود اما می‌توانست بهتر باشد,fa
201,What a beautiful day!,en
202,Could be better.,en
203,"Nicht schlecht, aber nicht gut.",de
204,Could be better.,en
205,این بهترین روز من بود,fa
206,यह ठीक था।,hi
207,Worst day ever.,en
208,बहुत ही अच्छा प्रदर्शन!,hi
209,मैं इससे खुश नहीं हूँ।,hi
210,What a beautiful day!,en
211,"Nicht schlecht, aber nicht gut.",de
212,What a beautiful day!,en
213,لا يعجبني هذا,ar
214,I love this!,en
215,من خیلی ناراحتم,fa
216,This is terrible...,en
217,Das war unglaublich!,de
218,من خیلی ناراحتم,fa
219,اليوم كان رائعًا,ar
220,What a beautiful day!,en
221,I love this!,en
222,Absolutely fantastic experience!,en
223,Ich bin enttäuscht.,de
224,Worst day ever.,en
225,Das war unglaublich!,de
226,مقبول لكنه ليس الأفضل,ar
227,What a beautiful day!,en
228,Das war unglaublich!,de
229,This is terrible...,en
230,خوب بود اما می‌توانست بهتر باشد,fa
231,Ich bin enttäuscht.,de
232,यह ठीक था।,hi
233,I am so tired of this nonsense.,en
234,اليوم كان رائعًا,ar
235,"Nicht schlecht, aber nicht gut.",de
236,What a beautiful day!,en
237,مقبول لكنه ليس الأفضل,ar
238,मैं इससे खुश नहीं हूँ।,hi
239,Worst day ever.,en
240,Could be better.,en
241,Could be better.,en
242,Ich bin enttäuscht.,de
243,اليوم كان رائعًا,ar
244,This is terrible...,en
245,Could be better.,en
246,मैं इससे खुश नहीं हूँ।,hi
247,"Nicht schlecht, aber nicht gut.",de
248,مقبول لكنه ليس الأفضل,ar
249,I love this!,en
250,مقبول لكنه ليس الأفضل,ar
251,यह ठीक था।,hi
252,I love this!,en
253,Ich bin enttäuscht.,de
254,من خیلی ناراحتم,fa
255,لا يعجبني هذا,ar
256,Absolutely fantastic experience!,en
257,"Nicht schlecht, aber nicht gut.",de
258,I love this!,en
259,لا يعجبني هذا,ar
260,Could be better.,en
261,This is terrible...,en
262,خوب بود اما می‌توانست بهتر باشد,fa
263,Ich bin enttäuscht.,de
264,"Nicht schlecht, aber nicht gut.",de
265,مقبول لكنه ليس الأفضل,ar
266,Worst day ever.,en
267,"Nicht schlecht, aber nicht gut.",de
268,خوب بود اما می‌توانست بهتر باشد,fa
269,اليوم كان رائعًا,ar
270,यह ठीक था।,hi
271,This is terrible...,en
272,Worst day ever.,en
273,Could be better.,en
274,خوب بود اما می‌توانست بهتر باشد,fa
275,Worst day ever.,en
276,خوب بود اما می‌توانست بهتر باشد,fa
277,This is terrible...,en
278,मैं इससे खुश नहीं हूँ।,hi
279,Das war unglaublich!,de
280,لا يعجبني هذا,ar
281,من خیلی ناراحتم,fa
282,Could be better.,en
283,बहुत ही अच्छा प्रदर्शन!,hi
284,مقبول لكنه ليس الأفضل,ar
285,خوب بود اما می‌توانست بهتر باشد,fa
286,خوب بود اما می‌توانست بهتر باشد,fa
287,خوب بود اما می‌توانست بهتر باشد,fa
288,Absolutely fantastic experience!,en
289,यह ठीक था।,hi
290,این بهترین روز من بود,fa
291,Das war unglaublich!,de
292,What a beautiful day!,en
293,Worst day ever.,en
294,I am so tired of this nonsense.,en
295,"Nicht schlecht, aber nicht gut.",de
296,من خیلی ناراحتم,fa
297,बहुत ही अच्छा प्रदर्शन!,hi
298,I am so tired of this nonsense.,en
299,यह ठीक था।,hi
300,I love this!,en
301,Could be better.,en
302,لا يعجبني هذا,ar
303,Das war unglaublich!,de
304,मैं इससे खुश नहीं हूँ।,hi
305,बहुत ही अच्छा प्रदर्शन!,hi
306,मैं इससे खुश नहीं हूँ।,hi
307,این بهترین روز من بود,fa
308,مقبول لكنه ليس الأفضل,ar
309,من خیلی ناراحتم,fa
310,Could be better.,en
311,What a beautiful day!,en
312,این بهترین روز من بود,fa
313,اليوم كان رائعًا,ar
314,Absolutely fantastic experience!,en
315,اليوم كان رائعًا,ar
316,اليوم كان رائعًا,ar
317,لا يعجبني هذا,ar
318,बहुत ही अच्छा प्रदर्शन!,hi
319,لا يعجبني هذا,ar
320,"Nicht schlecht, aber nicht gut.",de
321,Das war unglaublich!,de
322,Ich bin enttäuscht.,de
323,I love this!,en
324,این بهترین روز من بود,fa
325,यह ठीक था।,hi
326,Could be better.,en
327,خوب بود اما می‌توانست بهتر باشد,fa
328,What a beautiful day!,en
329,Could be better.,en
330,"Nicht schlecht, aber nicht gut.",de
331,این بهترین روز من بود,fa
332,خوب بود اما می‌توانست بهتر باشد,fa
333,I am so tired of this nonsense.,en
334,مقبول لكنه ليس الأفضل,ar
335,Das war unglaublich!,de
336,This is terrible...,en
337,Worst day ever.,en
338,اليوم كان رائعًا,ar
339,बहुत ही अच्छा प्रदर्शन!,hi
340,لا يعجبني هذا,ar
341,बहुत ही अच्छा प्रदर्शन!,hi
342,من خیلی ناراحتم,fa
343,لا يعجبني هذا,ar
344,Das war unglaublich!,de
345,I am so tired of this nonsense.,en
346,خوب بود اما می‌توانست بهتر باشد,fa
347,مقبول لكنه ليس الأفضل,ar
348,This is terrible...,en
349,Worst day ever.,en
350,Das war unglaublich!,de
351,"Nicht schlecht, aber nicht gut.",de
352,Das war unglaublich!,de
353,Worst day ever.,en
354,Das war unglaublich!,de
355,Das war unglaublich!,de
356,I love this!,en
357,این بهترین روز من بود,fa
358,मैं इससे खुश नहीं हूँ।,hi
359,Absolutely fantastic experience!,en
360,I am so tired of this nonsense.,en
361,मैं इससे खुश नहीं हूँ।,hi
362,बहुत ही अच्छा प्रदर्शन!,hi
363,لا يعجبني هذا,ar
364,خوب بود اما می‌توانست بهتر باشد,fa
365,Could be better.,en
366,Absolutely fantastic experience!,en
367,I love this!,en
368,Could be better.,en
369,मैं इससे खुश नहीं हूँ।,hi
370,I love this!,en
371,I love this!,en
372,This is terrible...,en
373,What a beautiful day!,en
374,Worst day ever.,en
375,خوب بود اما می‌توانست بهتر باشد,fa
376,Absolutely fantastic experience!,en
377,Could be better.,en
378,مقبول لكنه ليس الأفضل,ar
379,मैं इससे खुश नहीं हूँ।,hi
380,من خیلی ناراحتم,fa
381,I am so tired of this nonsense.,en
382,Absolutely fantastic experience!,en
383,What a beautiful day!,en
384,Absolutely fantastic experience!,en
385,Ich bin enttäuscht.,de
386,من خیلی ناراحتم,fa
387,What a beautiful day!,en
388,اليوم كان رائعًا,ar
389,Absolutely fantastic experience!,en
390,خوب بود اما می‌توانست بهتر باشد,fa
391,Das war unglaublich!,de
392,خوب بود اما می‌توانست بهتر باشد,fa
393,لا يعجبني هذا,ar
394,I love this!,en
395,Worst day ever.,en
396,"Nicht schlecht, aber nicht gut.",de
397,बहुत ही अच्छा प्रदर्शन!,hi
398,I love this!,en
399,مقبول لكنه ليس الأفضل,ar
400,Absolutely fantastic experience!,en
401,اليوم كان رائعًا,ar
402,لا يعجبني هذا,ar
403,من خیلی ناراحتم,fa
404,What a beautiful day!,en
405,मैं इससे खुश नहीं हूँ।,hi
406,این بهترین روز من بود,fa
407,Das war unglaublich!,de
408,Could be better.,en
409,What a beautiful day!,en
410,This is terrible...,en
411,बहुत ही अच्छा प्रदर्शन!,hi
412,خوب بود اما می‌توانست بهتر باشد,fa
413,मैं इससे खुश नहीं हूँ।,hi
414,من خیلی ناراحتم,fa
415,این بهترین روز من بود,fa
416,मैं इससे खुश नहीं हूँ।,hi
417,यह ठीक था।,hi
418,This is terrible...,en
419,خوب بود اما می‌توانست بهتر باشد,fa
420,I love this!,en
421,बहुत ही अच्छा प्रदर्शन!,hi
422,Absolutely fantastic experience!,en
423,I love this!,en
424,I am so tired of this nonsense.,en
425,Das war unglaublich!,de
426,لا يعجبني هذا,ar
427,I am so tired of this nonsense.,en
428,"Nicht schlecht, aber nicht gut.",de
429,مقبول لكنه ليس الأفضل,ar
430,मैं इससे खुश नहीं हूँ।,hi
431,बहुत ही अच्छा प्रदर्शन!,hi
432,I love this!,en
433,Worst day ever.,en
434,من خیلی ناراحتم,fa
435,Worst day ever.,en
436,Das war unglaublich!,de
437,I love this!,en
438,I love this!,en
439,مقبول لكنه ليس الأفضل,ar
440,لا يعجبني هذا,ar
441,मैं इससे खुश नहीं हूँ।,hi
442,यह ठीक था।,hi
443,What a beautiful day!,en
444,خوب بود اما می‌توانست بهتر باشد,fa
445,Absolutely fantastic experience!,en
446,I love this!,en
447,Das war unglaublich!,de
448,لا يعجبني هذا,ar
449,این بهترین روز من بود,fa
450,اليوم كان رائعًا,ar
451,Das war unglaublich!,de
452,यह ठीक था।,hi
453,Das war unglaublich!,de
454,I am so tired of this nonsense.,en
455,"Nicht schlecht, aber nicht gut.",de
456,What a beautiful day!,en
457,बहुत ही अच्छा प्रदर्शन!,hi
458,I am so tired of this nonsense.,en
459,خوب بود اما می‌توانست بهتر باشد,fa
460,यह ठीक था।,hi
461,Could be better.,en
462,This is terrible...,en
463,این بهترین روز من بود,fa
464,خوب بود اما می‌توانست بهتر باشد,fa
465,لا يعجبني هذا,ar
466,خوب بود اما می‌توانست بهتر باشد,fa
467,Absolutely fantastic experience!,en
468,مقبول لكنه ليس الأفضل,ar
469,Ich bin enttäuscht.,de
470,Das war unglaublich!,de
471,"Nicht schlecht, aber nicht gut.",de
472,Das war unglaublich!,de
473,مقبول لكنه ليس الأفضل,ar
474,यह ठीक था।,hi
475,اليوم كان رائعًا,ar
476,Could be better.,en
477,Ich bin enttäuscht.,de
478,What a beautiful day!,en
479,I love this!,en
480,Could be better.,en
481,"Nicht schlecht, aber nicht gut.",de
482,"Nicht schlecht, aber nicht gut.",de
483,Ich bin enttäuscht.,de
484,Das war unglaublich!,de
485,این بهترین روز من بود,fa
486,Ich bin enttäuscht.,de
487,This is terrible...,en
488,خوب بود اما می‌توانست بهتر باشد,fa
489,Could be better.,en
490,Could be better.,en
491,What a beautiful day!,en
492,What a beautiful day!,en
493,این بهترین روز من بود,fa
494,This is terrible...,en
495,Ich bin enttäuscht.,de
496,Could be better.,en
497,من خیلی ناراحتم,fa
498,من خیلی ناراحتم,fa
499,I am so tired of this nonsense.,en
500,Could be better.,en
501,"Nicht schlecht, aber nicht gut.",de
502,Could be better.,en
503,Worst day ever.,en
504,این بهترین روز من بود,fa
505,Das war unglaublich!,de
506,Das war unglaublich!,de
507,Ich bin enttäuscht.,de
508,خوب بود اما می‌توانست بهتر باشد,fa
509,I am so tired of this nonsense.,en
510,Das war unglaublich!,de
511,Absolutely fantastic experience!,en
512,यह ठीक था।,hi
513,لا يعجبني هذا,ar
514,बहुत ही अच्छा प्रदर्शन!,hi
515,خوب بود اما می‌توانست بهتر باشد,fa
516,من خیلی ناراحتم,fa
517,Das war unglaublich!,de
518,What a beautiful day!,en
519,لا يعجبني هذا,ar
520,This is terrible...,en
521,این بهترین روز من بود,fa
522,لا يعجبني هذا,ar
523,مقبول لكنه ليس الأفضل,ar
524,This is terrible...,en
525,This is terrible...,en
526,مقبول لكنه ليس الأفضل,ar
527,این بهترین روز من بود,fa
528,यह ठीक था।,hi
529,यह ठीक था।,hi
530,What a beautiful day!,en
531,I love this!,en
532,Absolutely fantastic experience!,en
533,Could be better.,en
534,What a beautiful day!,en
535,Worst day ever.,en
536,اليوم كان رائعًا,ar
537,मैं इससे खुश नहीं हूँ।,hi
538,من خیلی ناراحتم,fa
539,من خیلی ناراحتم,fa
540,Ich bin enttäuscht.,de
541,बहुत ही अच्छा प्रदर्शन!,hi
542,من خیلی ناراحتم,fa
543,اليوم كان رائعًا,ar
544,मैं इससे खुश नहीं हूँ।,hi
545,این بهترین روز من بود,fa
546,مقبول لكنه ليس الأفضل,ar
547,لا يعجبني هذا,ar
548,I am so tired of this nonsense.,en
549,I love this!,en
550,مقبول لكنه ليس الأفضل,ar
551,यह ठीक था।,hi
552,Das war unglaublich!,de
553,यह ठीक था।,hi
554,I am so tired of this nonsense.,en
555,Ich bin enttäuscht.,de
556,لا يعجبني هذا,ar
557,I am so tired of this nonsense.,en
558,خوب بود اما می‌توانست بهتر باشد,fa
559,Absolutely fantastic experience!,en
560,मैं इससे खुश नहीं हूँ।,hi
561,این بهترین روز من بود,fa
562,What a beautiful day!,en
563,I am so tired of this nonsense.,en
564,لا يعجبني هذا,ar
565,این بهترین روز من بود,fa
566,I love this!,en
567,Could be better.,en
568,اليوم كان رائعًا,ar
569,बहुत ही अच्छा प्रदर्शन!,hi
570,من خیلی ناراحتم,fa
571,مقبول لكنه ليس الأفضل,ar
572,Worst day ever.,en
573,I love this!,en
574,من خیلی ناراحتم,fa
575,I am so tired of this nonsense.,en
576,मैं इससे खुश नहीं हूँ।,hi
577,मैं इससे खुश नहीं हूँ।,hi
578,Das war unglaublich!,de
579,यह ठीक था।,hi
580,मैं इससे खुश नहीं हूँ।,hi
581,What a beautiful day!,en
582,این بهترین روز من بود,fa
583,Absolutely fantastic experience!,en
584,"Nicht schlecht, aber nicht gut.",de
585,I am so tired of this nonsense.,en
586,I am so tired of this nonsense.,en
587,What a beautiful day!,en
588,Absolutely fantastic experience!,en
589,Das war unglaublich!,de
590,This is terrible...,en
591,مقبول لكنه ليس الأفضل,ar
592,Absolutely fantastic experience!,en
593,बहुत ही अच्छा प्रदर्शन!,hi
594,This is terrible...,en
595,बहुत ही अच्छा प्रदर्शन!,hi
596,خوب بود اما می‌توانست بهتر باشد,fa
597,Das war unglaublich!,de
598,बहुत ही अच्छा प्रदर्शन!,hi
599,اليوم كان رائعًا,ar
600,Ich bin enttäuscht.,de
601,मैं इससे खुश नहीं हूँ।,hi
602,لا يعجبني هذا,ar
603,Ich bin enttäuscht.,de
604,I am so tired of this nonsense.,en
605,لا يعجبني هذا,ar
606,बहुत ही अच्छा प्रदर्शन!,hi
607,Worst day ever.,en
608,यह ठीक था।,hi
609,من خیلی ناراحتم,fa
610,Das war unglaublich!,de
611,"Nicht schlecht, aber nicht gut.",de
612,This is terrible...,en
613,What a beautiful day!,en
614,मैं इससे खुश नहीं हूँ।,hi
615,बहुत ही अच्छा प्रदर्शन!,hi
616,यह ठीक था।,hi
617,اليوم كان رائعًا,ar
618,I love this!,en
619,من خیلی ناراحتم,fa
620,"Nicht schlecht, aber nicht gut.",de
621,من خیلی ناراحتم,fa
622,What a beautiful day!,en
623,I love this!,en
624,This is terrible...,en
625,اليوم كان رائعًا,ar
626,Worst day ever.,en
627,Absolutely fantastic experience!,en
628,این بهترین روز من بود,fa
629,Could be better.,en
630,مقبول لكنه ليس الأفضل,ar
631,मैं इससे खुश नहीं हूँ।,hi
632,Ich bin enttäuscht.,de
633,این بهترین روز من بود,fa
634,من خیلی ناراحتم,fa
635,من خیلی ناراحتم,fa
636,Absolutely fantastic experience!,en
637,Could be better.,en
638,این بهترین روز من بود,fa
639,خوب بود اما می‌توانست بهتر باشد,fa
640,Ich bin enttäuscht.,de
641,مقبول لكنه ليس الأفضل,ar
642,Das war unglaublich!,de
643,مقبول لكنه ليس الأفضل,ar
644,What a beautiful day!,en
645,What a beautiful day!,en
646,यह ठीक था।,hi
647,خوب بود اما می‌توانست بهتر باشد,fa
648,I am so tired of this nonsense.,en
649,मैं इससे खुश नहीं हूँ।,hi
650,"Nicht schlecht, aber nicht gut.",de
651,"Nicht schlecht, aber nicht gut.",de
652,मैं इससे खुश नहीं हूँ।,hi
653,यह ठीक था।,hi
654,मैं इससे खुश नहीं हूँ।,hi
655,What a beautiful day!,en
656,"Nicht schlecht, aber nicht gut.",de
657,Worst day ever.,en
658,यह ठीक था।,hi
659,This is terrible...,en
660,What a beautiful day!,en
661,Could be better.,en
662,Worst day ever.,en
663,This is terrible...,en
664,What a beautiful day!,en
665,I am so tired of this nonsense.,en
666,خوب بود اما می‌توانست بهتر باشد,fa
667,این بهترین روز من بود,fa
668,I am so tired of this nonsense.,en
669,خوب بود اما می‌توانست بهتر باشد,fa
670,I love this!,en
671,"Nicht schlecht, aber nicht gut.",de
672,Could be better.,en
673,This is terrible...,en
674,Worst day ever.,en
675,यह ठीक था।,hi
676,Could be better.,en
677,من خیلی ناراحتم,fa
678,Ich bin enttäuscht.,de
679,Worst day ever.,en
680,This is terrible...,en
681,مقبول لكنه ليس الأفضل,ar
682,I am so tired of this nonsense.,en
683,"Nicht schlecht, aber nicht gut.",de
684,لا يعجبني هذا,ar
685,बहुत ही अच्छा प्रदर्शन!,hi
686,Worst day ever.,en
687,خوب بود اما می‌توانست بهتر باشد,fa
688,This is terrible...,en
689,This is terrible...,en
690,What a beautiful day!,en
691,यह ठीक था।,hi
692,I am so tired of this nonsense.,en
693,यह ठीक था।,hi
694,Das war unglaublich!,de
695,مقبول لكنه ليس الأفضل,ar
696,I am so tired of this nonsense.,en
697,यह ठीक था।,hi
698,यह ठीक था।,hi
699,This is terrible...,en
700,لا يعجبني هذا,ar
701,I am so tired of this nonsense.,en
702,यह ठीक था।,hi
703,Ich bin enttäuscht.,de
704,This is terrible...,en
705,यह ठीक था।,hi
706,Das war unglaublich!,de
707,اليوم كان رائعًا,ar
708,बहुत ही अच्छा प्रदर्शन!,hi
709,خوب بود اما می‌توانست بهتر باشد,fa
710,मैं इससे खुश नहीं हूँ।,hi
711,Worst day ever.,en
712,من خیلی ناراحتم,fa
713,What a beautiful day!,en
714,What a beautiful day!,en
715,"Nicht schlecht, aber nicht gut.",de
716,बहुत ही अच्छा प्रदर्शन!,hi
717,Worst day ever.,en
718,I love this!,en
719,خوب بود اما می‌توانست بهتر باشد,fa
720,What a beautiful day!,en
721,What a beautiful day!,en
722,What a beautiful day!,en
723,لا يعجبني هذا,ar
724,Worst day ever.,en
725,مقبول لكنه ليس الأفضل,ar
726,مقبول لكنه ليس الأفضل,ar
727,"Nicht schlecht, aber nicht gut.",de
728,बहुत ही अच्छा प्रदर्शन!,hi
729,I love this!,en
730,این بهترین روز من بود,fa
731,اليوم كان رائعًا,ar
732,Worst day ever.,en
733,I love this!,en
734,Could be better.,en
735,Worst day ever.,en
736,Absolutely fantastic experience!,en
737,बहुत ही अच्छा प्रदर्शन!,hi
738,This is terrible...,en
739,What a beautiful day!,en
740,What a beautiful day!,en
741,यह ठीक था।,hi
742,خوب بود اما می‌توانست بهتر باشد,fa
743,این بهترین روز من بود,fa
744,I love this!,en
745,این بهترین روز من بود,fa
746,خوب بود اما می‌توانست بهتر باشد,fa
747,Das war unglaublich!,de
748,Ich bin enttäuscht.,de
749,Worst day ever.,en
750,I love this!,en
751,बहुत ही अच्छा प्रदर्शन!,hi
752,Worst day ever.,en
753,मैं इससे खुश नहीं हूँ।,hi
754,I love this!,en
755,मैं इससे खुश नहीं हूँ।,hi
756,Worst day ever.,en
757,यह ठीक था।,hi
758,Absolutely fantastic experience!,en
759,I love this!,en
760,مقبول لكنه ليس الأفضل,ar
761,This is terrible...,en
762,Worst day ever.,en
763,यह ठीक था।,hi
764,I am so tired of this nonsense.,en
765,This is terrible...,en
766,خوب بود اما می‌توانست بهتر باشد,fa
767,Worst day ever.,en
768,Absolutely fantastic experience!,en
769,I am so tired of this nonsense.,en
770,من خیلی ناراحتم,fa
771,Das war unglaublich!,de
772,यह ठीक था।,hi
773,Ich bin enttäuscht.,de
774,Das war unglaublich!,de
775,This is terrible...,en
776,مقبول لكنه ليس الأفضل,ar
777,Das war unglaublich!,de
778,यह ठीक था।,hi
779,Worst day ever.,en
780,"Nicht schlecht, aber nicht gut.",de
781,I am so tired of this nonsense.,en
782,این بهترین روز من بود,fa
783,این بهترین روز من بود,fa
784,من خیلی ناراحتم,fa
785,यह ठीक था।,hi
786,Ich bin enttäuscht.,de
787,What a beautiful day!,en
788,خوب بود اما می‌توانست بهتر باشد,fa
789,मैं इससे खुश नहीं हूँ।,hi
790,لا يعجبني هذا,ar
791,خوب بود اما می‌توانست بهتر باشد,fa
792,Could be better.,en
793,बहुत ही अच्छा प्रदर्शन!,hi
794,لا يعجبني هذا,ar
795,Das war unglaublich!,de
796,This is terrible...,en
797,I am so tired of this nonsense.,en
798,Ich bin enttäuscht.,de
799,Could be better.,en
800,Das war unglaublich!,de
801,من خیلی ناراحتم,fa
802,اليوم كان رائعًا,ar
803,مقبول لكنه ليس الأفضل,ar
804,اليوم كان رائعًا,ar
805,Ich bin enttäuscht.,de
806,این بهترین روز من بود,fa
807,This is terrible...,en
808,این بهترین روز من بود,fa
809,What a beautiful day!,en
810,मैं इससे खुश नहीं हूँ।,hi
811,What a beautiful day!,en
812,What a beautiful day!,en
813,बहुत ही अच्छा प्रदर्शन!,hi
814,मैं इससे खुश नहीं हूँ।,hi
815,Das war unglaublich!,de
816,Das war unglaublich!,de
817,Ich bin enttäuscht.,de
818,I love this!,en
819,این بهترین روز من بود,fa
820,Das war unglaublich!,de
821,خوب بود اما می‌توانست بهتر باشد,fa
822,"Nicht schlecht, aber nicht gut.",de
823,من خیلی ناراحتم,fa
824,Das war unglaublich!,de
825,यह ठीक था।,hi
826,What a beautiful day!,en
827,Could be better.,en
828,لا يعجبني هذا,ar
829,बहुत ही अच्छा प्रदर्शन!,hi
830,मैं इससे खुश नहीं हूँ।,hi
831,This is terrible...,en
832,I am so tired of this nonsense.,en
833,لا يعجبني هذا,ar
834,यह ठीक था।,hi
